Area,Item,Rainfall_Bin,Temp_Bin,Pest_Bin,Yield_Bin
Albania,Maize,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Potatoes,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,"Rice, paddy",Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Sorghum,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Soybeans,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Wheat,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Maize,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Potatoes,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,"Rice, paddy",Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Sorghum,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Soybeans,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Wheat,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Maize,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Potatoes,Rain_High,Temp_Warm,Pest_Low,Yield_High
Albania,"Rice, paddy",Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Sorghum,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Soybeans,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Wheat,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Maize,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Potatoes,Rain_High,Temp_Warm,Pest_Low,Yield_High
Albania,"Rice, paddy",Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Soybeans,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Wheat,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Maize,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Potatoes,Rain_High,Temp_Warm,Pest_Low,Yield_High
Albania,Soybeans,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Wheat,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Maize,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Potatoes,Rain_High,Temp_Warm,Pest_Low,Yield_High
Albania,Soybeans,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Wheat,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Maize,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Potatoes,Rain_High,Temp_Warm,Pest_Low,Yield_High
Albania,Soybeans,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Wheat,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Maize,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Potatoes,Rain_High,Temp_Warm,Pest_Low,Yield_High
Albania,Soybeans,Rain_High,Temp_Warm,Pest_Low,Yield_Low
Albania,Wheat,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Maize,Rain_High,Temp_Warm,Pest_Low,Yield_Med
Albania,Potatoes,Rain_High,Temp_Warm,Pest_Low,Yield_High
